Timetamp,Classification,Confidence
2022-11-20 18:31:52,Urinating,0.40434197
2022-11-20 18:31:52,Urinating,0.51210815
2022-11-20 18:31:52,Licking,0.68856746
2022-11-20 18:31:53,Licking,0.7608646
2022-11-20 18:31:53,Licking,0.856255
2022-11-20 18:31:53,Licking,0.8648496
2022-11-20 18:31:54,Licking,0.8515707
2022-11-20 18:31:54,Licking,0.8182547
2022-11-20 18:31:54,Licking,0.90876997
2022-11-20 18:31:54,Licking,0.95374167
2022-11-20 18:31:55,Licking,0.8770286
2022-11-20 18:31:55,Licking,0.9266212
2022-11-20 18:31:55,Licking,0.8912871
2022-11-20 18:31:56,Licking,0.95337546
2022-11-20 18:31:56,Licking,0.8595786
2022-11-20 18:31:56,Licking,0.9052776
2022-11-20 18:31:57,Licking,0.9783743
2022-11-20 18:31:57,Licking,0.9309972
2022-11-20 18:31:57,Licking,0.6699821
2022-11-20 18:31:58,Licking,0.9411738
2022-11-20 18:31:58,Licking,0.8630846
2022-11-20 18:31:58,Licking,0.91635567
2022-11-20 18:31:58,Licking,0.90005094
2022-11-20 18:31:59,Licking,0.6291617
2022-11-20 18:31:59,Licking,0.5021222
2022-11-20 18:32:03,Licking,0.27402106
2022-11-20 18:32:04,Licking,0.49005467
2022-11-20 18:32:04,Licking,0.32305095
2022-11-20 18:32:04,Licking,0.4790172
2022-11-20 18:32:06,Licking,0.33023202
2022-11-20 18:32:06,Licking,0.41929242
2022-11-20 18:32:07,Licking,0.50850725
2022-11-20 18:32:07,Licking,0.4910514
2022-11-20 18:32:07,Licking,0.680513
2022-11-20 18:32:08,Licking,0.7817442
2022-11-20 18:32:08,Licking,0.6007619
2022-11-20 18:32:09,Licking,0.346201
2022-11-20 18:32:09,Licking,0.7988972
2022-11-20 18:32:10,Licking,0.6370363
2022-11-20 18:32:10,Licking,0.5562594
2022-11-20 18:32:10,Licking,0.7943844
2022-11-20 18:32:10,Licking,0.80520016
2022-11-20 18:32:11,Licking,0.2258756
2022-11-20 18:32:11,Licking,0.62339276
2022-11-20 18:32:12,Licking,0.72296923
2022-11-20 18:32:12,Licking,0.52354515
2022-11-20 18:32:12,Licking,0.8010158
2022-11-20 18:32:13,Biting,0.20119508
2022-11-20 18:32:13,Licking,0.23181547
2022-11-20 18:32:13,Licking,0.7287352
2022-11-20 18:32:14,Licking,0.65724194
2022-11-20 18:32:14,Licking,0.5137921
2022-11-20 18:32:15,Licking,0.72152215
2022-11-20 18:32:15,Licking,0.39697477
2022-11-20 18:32:15,Licking,0.7382957
2022-11-20 18:32:16,Licking,0.7994987
2022-11-20 18:32:16,Licking,0.9057429
2022-11-20 18:32:16,Licking,0.78825164
2022-11-20 18:32:17,Urinating,0.23113194
2022-11-20 18:32:17,Biting,0.67068875
2022-11-20 18:32:17,Biting,0.30782074
2022-11-20 18:32:17,Licking,0.8178203
2022-11-20 18:32:18,Urinating,0.20358296
2022-11-20 18:32:18,Biting,0.5018768
2022-11-20 18:32:18,Licking,0.9599096
2022-11-20 18:32:19,Licking,0.8512794
2022-11-20 18:32:19,Biting,0.5078907
2022-11-20 18:32:19,Biting,0.62524366
2022-11-20 18:32:20,Licking,0.72626853
2022-11-20 18:32:20,Licking,0.64972353
2022-11-20 18:32:20,Licking,0.5637876
2022-11-20 18:32:20,Licking,0.26121747
2022-11-20 18:32:21,Licking,0.8057428
2022-11-20 18:32:21,Licking,0.51654136
2022-11-20 18:32:21,Licking,0.65853286
2022-11-20 18:32:26,Licking,0.31590593
2022-11-20 18:32:29,Licking,0.2540179
2022-11-20 18:32:29,Licking,0.5391043
2022-11-20 18:32:29,Licking,0.8527946
